GEOID,StateAbbrev,State,Year,NewDiagStateRate,NewDiagStateRateStable,NewDiagStateCase,NewDiagMaleRate,NewDiagMaleRateStable,NewDiagMaleCase,NewDiagFemaleRate,NewDiagFemaleRateStable,NewDiagFemaleCase,NewDiagBlackRate,NewDiagBlackRateStable,NewDiagBlackCase,NewDiagWhiteRate,NewDiagWhiteRateStable,NewDiagWhiteCase,NewDiagHispRate,NewDiagHispRateStable,NewDiagHispCase,NewDiagAsianRate,NewDiagAsianRateStable,NewDiagAsianCase,NewDiagAmericanNativeRate,NewDiagAmericanNativeRateStable,NewDiagAmericanNativeCase,NewDiagHawaiianNativeRate,NewDiagHawaiianNativeRateStable,NewDiagHawaiianNativeCase,NewDiagMultipleRaceRate,NewDiagMultipleRaceRateStable,NewDiagMultipleRaceCase,NewDiagAge13_24Rate,NewDiagAge13_24RateStable,NewDiagAge13_24Case,NewDiagAge25_34Rate,NewDiagAge25_34RateStable,NewDiagAge25_34Case,NewDiagAge35_44Rate,NewDiagAge35_44RateStable,NewDiagAge35_44Case,NewDiagAge45_54Rate,NewDiagAge45_54RateStable,NewDiagAge45_54Case,NewDiagAge55plusRate,NewDiagAge55plusStable,NewDiagAge55plusCase
10,DE,Delaware,2010,18,Y,134,28,Y,102,8,Y,32,55,Y,83,7,Y,37,19,N,10,4,N,1,0,N,0,0,N,0,31,N,3,18,Y,27,28,Y,32,26,Y,30,24,Y,31,6,Y,13
11,DC,Washington DC,2010,165,Y,877,253,Y,627,89,Y,250,265,Y,682,56,Y,110,126,Y,58,21,N,4,84,N,1,491,N,1,222,Y,21,144,Y,163,186,Y,236,238,Y,193,248,Y,188,72,Y,97
12,FL,Florida,2010,30,Y,4789,46,Y,3553,15,Y,1236,102,Y,2350,13,Y,1203,32,Y,1117,7,Y,26,12,N,5,0,N,0,52,Y,88,32,Y,922,48,Y,1108,47,Y,1149,39,Y,1057,10,Y,553
13,GA,Georgia,2010,35,Y,2756,54,Y,2078,17,Y,677,86,Y,2002,11,Y,480,28,Y,170,7,Y,18,6,N,1,49,N,2,95,Y,82,40,Y,659,57,Y,758,42,Y,590,37,Y,510,11,Y,238
15,HI,Hawaii,2010,9,Y,107,16,Y,91,3,Y,15,35,N,6,13,Y,38,8,N,7,6,Y,29,0,N,0,15,Y,15,6,N,11,8,Y,16,15,Y,27,12,Y,21,16,Y,30,3,N,11
16,ID,Idaho,2010,4,Y,45,6,Y,34,2,N,10,31,N,2,3,Y,37,3,N,3,0,N,0,14,N,2,0,N,0,6,N,1,2,N,6,5,N,10,8,Y,15,6,Y,12,0,N,1
17,IL,Illinois,2010,17,Y,1755,28,Y,1431,6,Y,325,61,Y,908,6,Y,416,21,Y,310,5,Y,23,26,N,4,38,N,1,93,Y,94,19,Y,412,30,Y,525,24,Y,407,15,Y,275,4,Y,136
18,IN,Indiana,2010,9,Y,487,15,Y,388,4,Y,99,47,Y,217,5,Y,207,15,Y,42,5,N,4,0,N,0,0,N,0,34,Y,18,11,Y,118,17,Y,139,15,Y,123,8,Y,78,2,Y,30
19,IA,Iowa,2010,5,Y,115,8,Y,95,2,Y,19,37,Y,24,3,Y,70,10,N,10,9,N,4,0,N,0,0,N,0,28,N,6,4,Y,21,8,Y,30,8,Y,28,6,Y,27,1,N,7
20,KS,Kansas,2010,6,Y,139,10,Y,117,2,Y,21,33,Y,43,3,Y,65,9,Y,19,0,N,0,0,N,0,0,N,0,33,Y,12,5,Y,26,13,Y,50,10,Y,33,6,Y,25,1,N,4
21,KY,Kentucky,2010,10,Y,344,15,Y,268,4,Y,76,53,Y,142,5,Y,155,27,Y,25,8,N,3,0,N,0,0,N,0,52,Y,18,12,Y,86,17,Y,93,14,Y,78,9,Y,57,3,Y,29
22,LA,Louisiana,2010,30,Y,1129,44,Y,804,17,Y,325,73,Y,835,10,Y,229,25,Y,38,10,N,6,13,N,3,78,N,1,53,Y,17,38,Y,301,50,Y,319,40,Y,225,31,Y,203,8,Y,82
23,ME,Maine,2010,5,Y,57,9,Y,50,1,N,7,138,Y,15,4,Y,39,0,N,0,9,N,1,0,N,0,0,N,0,8,N,1,3,N,6,8,N,11,13,Y,22,5,N,10,2,N,7
24,MD,Maryland,2010,40,Y,1927,56,Y,1301,25,Y,627,105,Y,1444,9,Y,251,34,Y,121,7,Y,18,18,N,2,0,N,0,127,Y,92,37,Y,352,61,Y,471,58,Y,456,51,Y,458,14,Y,191
25,MA,Massachusetts,2010,13,Y,740,20,Y,531,7,Y,209,66,Y,225,7,Y,293,40,Y,189,8,Y,24,0,N,0,51,N,1,12,N,8,7,Y,82,20,Y,166,25,Y,219,19,Y,193,5,Y,81
26,MI,Michigan,2010,10,Y,785,16,Y,632,4,Y,153,42,Y,472,4,Y,238,15,Y,45,2,N,4,2,N,1,0,N,0,23,Y,25,12,Y,209,19,Y,224,12,Y,157,9,Y,139,2,Y,57
27,MN,Minnesota,2010,8,Y,341,12,Y,266,3,Y,75,57,Y,113,4,Y,161,19,Y,33,4,N,7,24,N,10,0,N,0,29,Y,16,9,Y,81,13,Y,96,11,Y,75,9,Y,74,1,Y,15
28,MS,Mississippi,2010,19,Y,468,30,Y,353,9,Y,115,42,Y,366,5,Y,66,17,N,10,0,N,0,0,N,0,0,N,0,162,Y,25,25,Y,131,32,Y,126,27,Y,100,19,Y,77,5,Y,34
29,MO,Missouri,2010,12,Y,581,20,Y,471,4,Y,109,52,Y,289,6,Y,240,20,Y,30,10,N,8,0,N,0,0,N,0,21,Y,13,17,Y,165,22,Y,173,16,Y,118,11,Y,94,2,Y,30
30,MT,Montana,2010,2,Y,20,4,Y,17,1,N,3,0,N,0,2,Y,17,5,N,1,0,N,0,2,N,1,0,N,0,7,N,1,3,N,5,4,N,5,8,N,9,1,N,1,0,N,0
31,NE,Nebraska,2010,8,Y,117,12,Y,91,3,Y,25,55,Y,34,5,Y,62,11,Y,12,8,N,2,9,N,1,0,N,0,34,N,5,10,Y,29,14,Y,34,13,Y,28,8,Y,19,1,N,5
32,NV,Nevada,2010,17,Y,383,29,Y,321,6,Y,63,61,Y,104,11,Y,138,21,Y,108,13,Y,22,5,N,1,17,N,2,17,N,8,19,Y,83,29,Y,113,26,Y,97,15,Y,55,6,Y,36
33,NH,New Hampshire,2010,5,Y,53,9,Y,48,1,N,5,19,N,2,4,Y,43,11,N,3,13,N,3,0,N,0,0,N,0,19,N,2,3,N,7,9,Y,13,6,N,11,7,Y,16,1,N,5
34,NJ,New Jersey,2010,20,Y,1441,30,Y,1058,10,Y,383,66,Y,614,5,Y,236,39,Y,478,3,Y,21,10,N,1,0,N,0,125,Y,91,18,Y,241,32,Y,358,30,Y,364,21,Y,293,8,Y,184
35,NM,New Mexico,2010,9,Y,150,16,Y,129,3,Y,21,30,N,9,4,Y,32,11,Y,80,4,N,1,18,Y,24,0,N,0,16,N,3,8,Y,27,21,Y,56,12,Y,30,8,Y,23,3,Y,14
36,NY,New York,2010,26,Y,4199,41,Y,3191,12,Y,1009,77,Y,1817,9,Y,852,46,Y,1252,6,Y,71,2,N,1,31,N,2,109,Y,205,24,Y,796,43,Y,1135,38,Y,974,29,Y,838,9,Y,456
37,NC,North Carolina,2010,19,Y,1476,29,Y,1112,9,Y,364,58,Y,960,6,Y,339,22,Y,122,6,N,10,3,N,3,23,N,1,48,Y,42,22,Y,339,29,Y,366,23,Y,309,22,Y,300,7,Y,161
38,ND,North Dakota,2010,2,Y,13,3,N,9,1,N,4,68,N,4,1,N,5,32,N,3,17,N,1,0,N,0,0,N,0,0,N,0,3,N,4,2,N,2,5,N,4,1,N,1,1,N,2
39,OH,Ohio,2010,10,Y,990,18,Y,816,4,Y,173,42,Y,469,5,Y,419,19,Y,49,4,N,6,6,N,1,0,N,0,41,Y,46,14,Y,272,19,Y,272,15,Y,222,10,Y,168,2,Y,57
40,OK,Oklahoma,2010,9,Y,290,16,Y,240,3,Y,50,42,Y,92,6,Y,125,14,Y,31,4,N,2,8,Y,19,0,N,0,15,Y,19,11,Y,68,18,Y,91,14,Y,64,9,Y,48,2,Y,19
41,OR,Oregon,2010,8,Y,242,14,Y,214,2,Y,28,29,Y,15,6,Y,162,14,Y,46,5,N,6,11,N,4,10,N,1,11,N,8,8,Y,50,12,Y,63,11,Y,57,8,Y,43,3,Y,31
42,PA,Pennsylvania,2010,14,Y,1519,22,Y,1155,7,Y,364,69,Y,742,5,Y,459,48,Y,253,5,Y,14,14,N,2,83,N,2,47,Y,47,16,Y,326,25,Y,384,22,Y,358,16,Y,316,4,Y,135
44,RI,Rhode Island,2010,13,Y,119,22,Y,93,5,Y,25,60,Y,27,8,Y,56,31,Y,31,8,N,2,0,N,0,0,N,0,26,N,3,9,Y,17,18,Y,23,28,Y,38,16,Y,26,5,Y,14
45,SC,South Carolina,2010,20,Y,787,32,Y,589,10,Y,198,57,Y,588,6,Y,146,21,Y,37,10,N,5,0,N,0,0,N,0,31,N,11,30,Y,231,31,Y,182,28,Y,166,21,Y,139,6,Y,68
46,SD,South Dakota,2010,5,Y,32,6,Y,20,4,Y,12,163,Y,12,2,Y,13,13,N,2,0,N,0,10,N,5,0,N,0,0,N,0,3,N,4,11,N,11,12,N,11,4,N,5,1,N,1
47,TN,Tennessee,2010,16,Y,861,26,Y,664,7,Y,197,63,Y,534,6,Y,231,32,Y,65,10,N,7,7,N,1,44,N,1,41,Y,21,20,Y,207,27,Y,226,24,Y,205,16,Y,152,4,Y,71
48,TX,Texas,2010,23,Y,4544,36,Y,3546,10,Y,999,77,Y,1786,10,Y,935,22,Y,1576,7,Y,54,0,N,0,14,N,2,101,Y,191,24,Y,1066,37,Y,1347,31,Y,1065,22,Y,753,6,Y,313
49,UT,Utah,2010,4,Y,83,7,Y,70,1,Y,13,32,N,6,3,Y,50,10,Y,24,2,N,1,0,N,0,0,N,0,8,N,2,3,Y,16,5,Y,20,9,Y,30,4,Y,12,1,N,4
50,VT,Vermont,2010,4,Y,23,7,Y,18,2,N,4,69,N,3,3,Y,17,14,N,1,0,N,0,0,N,0,0,N,0,16,N,1,5,N,5,4,N,3,5,N,4,8,N,8,1,N,2
51,VA,Virginia,2010,16,Y,1047,24,Y,792,7,Y,256,51,Y,636,6,Y,260,22,Y,104,3,N,9,11,N,2,0,N,0,35,Y,37,19,Y,252,26,Y,283,22,Y,247,15,Y,176,5,Y,89
53,WA,Washington,2010,10,Y,553,18,Y,486,2,Y,68,39,Y,74,8,Y,316,20,Y,108,6,Y,26,11,N,8,3,N,1,13,Y,19,7,Y,75,18,Y,168,17,Y,157,11,Y,107,3,Y,46
54,WV,West Virginia,2010,5,Y,81,9,Y,69,2,Y,12,25,Y,13,4,Y,59,36,N,6,0,N,0,0,N,0,0,N,0,21,N,3,4,Y,12,12,Y,25,8,Y,18,8,Y,23,1,N,3
55,WI,Wisconsin,2010,5,Y,256,9,Y,212,2,Y,45,43,Y,117,2,Y,95,13,Y,30,4,N,4,3,N,1,0,N,0,21,N,9,8,Y,71,9,Y,64,8,Y,59,5,Y,42,1,Y,21
56,WY,Wyoming,2010,4,Y,19,7,Y,16,1,N,3,0,N,0,2,N,9,25,N,9,0,N,0,0,N,0,0,N,0,19,N,1,1,N,1,12,N,9,8,N,5,2,N,2,1,N,2
72,PR,Puerto Rico,2010,27,Y,826,42,Y,614,13,Y,212,-9,-,0,-9,-,1,-9,-,824,-9,-,1,-9,-,0,-9,-,0,-9,-,0,16,Y,105,43,Y,209,45,Y,216,38,Y,183,12,Y,114
1,AL,Alabama,2011,18,Y,708,28,Y,540,8,Y,168,48,Y,491,6,Y,168,18,Y,23,4,N,2,0,N,0,0,N,0,60,Y,23,25,Y,205,34,Y,211,21,Y,126,17,Y,116,4,Y,50
2,AK,Alaska,2011,4,Y,24,6,Y,17,3,N,7,27,N,5,2,N,7,13,N,4,0,N,0,9,N,7,18,N,1,0,N,0,6,N,8,6,N,6,6,N,5,3,N,3,1,N,2
4,AZ,Arizona,2011,11,Y,574,19,Y,498,3,Y,76,39,Y,77,7,Y,230,15,Y,206,10,Y,15,19,Y,39,0,N,0,10,N,7,9,Y,94,22,Y,189,18,Y,147,11,Y,96,3,Y,49
5,AR,Arkansas,2011,10,Y,246,16,Y,194,4,Y,52,38,Y,134,5,Y,86,11,Y,15,3,N,1,0,N,0,0,N,0,32,N,9,15,Y,71,20,Y,74,13,Y,48,8,Y,32,3,Y,20
6,CA,California,2011,17,Y,5226,30,Y,4648,4,Y,578,54,Y,995,12,Y,1639,20,Y,2145,6,Y,263,13,Y,18,24,Y,27,22,Y,139,14,Y,909,30,Y,1595,26,Y,1319,19,Y,992,5,Y,410
8,CO,Colorado,2011,9,Y,380,16,Y,329,2,Y,51,32,Y,51,7,Y,202,14,Y,111,5,N,6,15,N,4,0,N,0,8,N,5,8,Y,65,16,Y,122,13,Y,89,10,Y,74,3,Y,30
9,CT,Connecticut,2011,12,Y,359,18,Y,267,6,Y,92,49,Y,138,5,Y,107,28,Y,107,4,N,4,0,N,0,101,N,1,6,N,2,12,Y,67,22,Y,96,16,Y,76,14,Y,80,4,Y,40
10,DE,Delaware,2011,15,Y,116,24,Y,87,7,Y,29,44,Y,69,6,Y,32,21,N,11,0,N,0,0,N,0,0,N,0,39,N,4,15,Y,23,29,Y,33,19,Y,21,15,Y,19,8,Y,19
11,DC,Washington DC,2011,133,Y,721,206,Y,523,69,Y,198,211,Y,546,47,Y,96,108,Y,53,36,N,7,86,N,1,0,N,0,173,Y,17,124,Y,137,128,Y,172,197,Y,165,208,Y,159,64,Y,88
12,FL,Florida,2011,29,Y,4777,46,Y,3595,14,Y,1182,95,Y,2252,14,Y,1313,31,Y,1096,11,Y,44,10,N,4,53,N,5,35,Y,62,29,Y,865,51,Y,1190,44,Y,1068,38,Y,1052,10,Y,601
13,GA,Georgia,2011,35,Y,2808,56,Y,2159,16,Y,649,87,Y,2080,9,Y,421,32,Y,198,5,Y,14,6,N,1,76,N,3,99,Y,90,43,Y,729,58,Y,778,42,Y,576,35,Y,486,11,Y,240
15,HI,Hawaii,2011,7,Y,86,13,Y,74,2,Y,12,41,N,8,11,Y,32,6,N,5,4,Y,17,0,N,0,12,Y,12,6,N,11,2,N,5,12,Y,24,13,Y,23,12,Y,22,3,N,11
16,ID,Idaho,2011,3,Y,37,5,Y,31,1,N,6,29,N,2,3,Y,29,4,N,5,0,N,0,0,N,0,0,N,0,6,N,1,2,N,5,6,Y,12,6,Y,12,3,N,5,1,N,2
17,IL,Illinois,2011,16,Y,1739,27,Y,1400,6,Y,339,58,Y,866,6,Y,383,22,Y,340,6,Y,29,20,N,3,0,N,0,113,Y,118,20,Y,422,27,Y,482,22,Y,373,17,Y,318,5,Y,145
18,IN,Indiana,2011,9,Y,483,16,Y,406,3,Y,78,45,Y,207,5,Y,213,18,Y,50,3,N,3,0,N,0,0,N,0,16,N,9,12,Y,127,18,Y,149,13,Y,109,7,Y,66,2,Y,32
19,IA,Iowa,2011,5,Y,119,8,Y,99,2,Y,20,33,Y,22,3,Y,69,15,Y,16,13,N,6,0,N,0,0,N,0,23,N,5,5,Y,28,9,Y,34,8,Y,28,5,Y,21,1,N,9
20,KS,Kansas,2011,6,Y,140,10,Y,117,2,Y,22,32,Y,43,3,Y,62,13,Y,28,4,N,2,0,N,0,0,N,0,13,N,5,7,Y,33,9,Y,36,10,Y,36,7,Y,27,1,N,9
21,KY,Kentucky,2011,9,Y,318,15,Y,272,3,Y,46,40,Y,109,5,Y,169,26,Y,25,7,N,3,0,N,0,0,N,0,34,Y,12,11,Y,78,15,Y,83,11,Y,61,11,Y,71,2,Y,26
22,LA,Louisiana,2011,33,Y,1235,48,Y,869,19,Y,366,78,Y,909,10,Y,235,48,Y,75,5,N,3,9,N,2,0,N,0,36,Y,12,41,Y,321,58,Y,374,42,Y,235,34,Y,219,8,Y,86
23,ME,Maine,2011,4,Y,50,7,Y,40,2,N,10,141,Y,16,3,Y,32,17,N,2,0,N,0,0,N,0,0,N,0,0,N,0,2,N,4,8,N,11,6,N,9,10,Y,21,1,N,4
24,MD,Maryland,2011,33,Y,1611,48,Y,1126,19,Y,485,84,Y,1169,8,Y,229,35,Y,129,5,Y,14,18,N,2,0,N,0,90,Y,68,36,Y,346,52,Y,406,40,Y,311,42,Y,377,12,Y,170
25,MA,Massachusetts,2011,14,Y,768,21,Y,552,7,Y,215,74,Y,261,6,Y,270,38,Y,192,9,Y,28,0,N,0,0,N,0,27,Y,18,9,Y,100,21,Y,180,27,Y,234,17,Y,173,5,Y,81
26,MI,Michigan,2011,10,Y,797,16,Y,635,4,Y,161,43,Y,486,4,Y,234,15,Y,47,7,Y,13,0,N,0,0,N,0,13,Y,15,15,Y,248,18,Y,209,12,Y,148,9,Y,134,2,Y,58
27,MN,Minnesota,2011,7,Y,305,10,Y,226,4,Y,78,55,Y,114,4,Y,141,14,Y,25,4,N,7,7,N,3,0,N,0,25,Y,14,7,Y,57,13,Y,94,12,Y,81,7,Y,55,1,Y,18
28,MS,Mississippi,2011,22,Y,541,34,Y,397,11,Y,144,47,Y,411,6,Y,82,32,Y,20,5,N,1,0,N,0,0,N,0,174,Y,29,31,Y,160,37,Y,146,26,Y,98,21,Y,86,7,Y,51
29,MO,Missouri,2011,11,Y,536,19,Y,460,3,Y,76,48,Y,264,6,Y,227,23,Y,36,2,N,2,0,N,0,0,N,0,11,N,7,15,Y,151,19,Y,152,14,Y,104,10,Y,91,2,Y,39
30,MT,Montana,2011,3,Y,21,4,Y,17,1,N,4,0,N,0,3,Y,19,5,N,1,0,N,0,2,N,1,0,N,0,0,N,0,1,N,2,2,N,3,6,N,7,4,N,5,1,N,4
31,NE,Nebraska,2011,5,Y,81,10,Y,70,1,N,10,21,Y,13,4,Y,46,10,Y,12,4,N,1,18,N,2,0,N,0,39,N,6,4,Y,12,13,Y,33,7,Y,15,8,Y,19,0,N,1
32,NV,Nevada,2011,17,Y,388,30,Y,333,5,Y,55,58,Y,101,10,Y,131,21,Y,111,18,Y,32,10,N,2,8,N,1,20,N,10,21,Y,92,36,Y,139,17,Y,65,16,Y,61,5,Y,32
33,NH,New Hampshire,2011,4,Y,41,6,Y,35,1,N,6,35,N,4,3,Y,32,11,N,3,4,N,1,0,N,0,0,N,0,9,N,1,2,N,5,6,N,8,3,N,5,7,Y,15,2,N,7
34,NJ,New Jersey,2011,18,Y,1291,27,Y,961,9,Y,330,63,Y,589,6,Y,250,29,Y,364,2,Y,15,0,N,0,0,N,0,97,Y,73,16,Y,222,31,Y,350,24,Y,293,20,Y,275,7,Y,150
35,NM,New Mexico,2011,8,Y,140,14,Y,119,2,Y,20,23,N,7,4,Y,32,10,Y,74,4,N,1,15,Y,21,0,N,0,21,N,4,7,Y,23,17,Y,46,15,Y,38,7,Y,20,2,Y,12
36,NY,New York,2011,24,Y,4009,39,Y,3045,11,Y,964,70,Y,1665,8,Y,815,45,Y,1239,7,Y,90,7,N,3,0,N,0,102,Y,197,25,Y,800,43,Y,1168,33,Y,853,27,Y,762,8,Y,426
37,NC,North Carolina,2011,19,Y,1494,30,Y,1151,8,Y,343,59,Y,981,6,Y,322,18,Y,100,6,N,11,14,Y,12,23,N,1,73,Y,66,23,Y,359,28,Y,350,23,Y,302,23,Y,321,7,Y,163
38,ND,North Dakota,2011,2,Y,12,4,N,11,0,N,1,30,N,2,2,N,9,10,N,1,0,N,0,0,N,0,0,N,0,0,N,0,3,N,4,5,N,5,1,N,1,1,N,1,1,N,1
39,OH,Ohio,2011,11,Y,1062,18,Y,839,5,Y,222,46,Y,513,6,Y,443,23,Y,61,4,N,6,6,N,1,0,N,0,32,Y,38,15,Y,289,21,Y,296,16,Y,229,11,Y,179,2,Y,69
40,OK,Oklahoma,2011,10,Y,321,17,Y,263,4,Y,58,42,Y,94,7,Y,157,12,Y,29,4,N,2,8,Y,19,0,N,0,16,Y,20,13,Y,82,16,Y,84,17,Y,79,10,Y,51,3,Y,26
41,OR,Oregon,2011,8,Y,244,14,Y,216,2,Y,28,21,N,11,7,Y,191,11,Y,35,3,N,4,3,N,1,0,N,0,3,N,2,6,Y,38,12,Y,62,13,Y,64,9,Y,50,3,Y,30
42,PA,Pennsylvania,2011,13,Y,1425,21,Y,1102,6,Y,323,69,Y,756,5,Y,414,38,Y,208,4,Y,12,0,N,0,0,N,0,33,Y,35,15,Y,311,21,Y,332,22,Y,347,15,Y,285,4,Y,149
44,RI,Rhode Island,2011,11,Y,102,21,Y,90,3,Y,12,33,Y,15,8,Y,55,20,Y,21,8,N,2,0,N,0,0,N,0,67,N,8,6,N,11,24,Y,31,17,Y,23,17,Y,28,3,N,9
45,SC,South Carolina,2011,20,Y,761,31,Y,581,9,Y,181,54,Y,561,5,Y,134,27,Y,47,0,N,0,7,N,1,0,N,0,50,Y,19,29,Y,222,32,Y,193,26,Y,151,18,Y,117,6,Y,79
46,SD,South Dakota,2011,3,Y,22,4,Y,13,2,N,8,24,N,2,2,N,11,19,N,3,0,N,0,8,N,4,0,N,0,12,N,1,1,N,1,6,N,6,4,N,4,5,N,6,2,N,4
47,TN,Tennessee,2011,16,Y,862,26,Y,655,8,Y,207,58,Y,500,7,Y,282,21,Y,45,8,N,6,0,N,0,0,N,0,55,Y,30,22,Y,222,26,Y,213,25,Y,208,18,Y,163,3,Y,55
48,TX,Texas,2011,21,Y,4404,35,Y,3502,9,Y,902,68,Y,1621,9,Y,893,23,Y,1625,9,Y,74,3,N,2,0,N,0,95,Y,189,24,Y,1060,35,Y,1295,28,Y,978,21,Y,726,6,Y,345
49,UT,Utah,2011,5,Y,104,8,Y,89,1,Y,15,25,N,5,4,Y,64,10,Y,24,13,N,6,0,N,0,6,N,1,11,N,3,4,Y,22,7,Y,31,7,Y,24,6,Y,19,1,N,7
50,VT,Vermont,2011,2,Y,12,4,N,11,0,N,1,23,N,1,2,N,10,13,N,1,0,N,0,0,N,0,0,N,0,0,N,0,2,N,2,4,N,3,7,N,5,2,N,2,0,N,0
51,VA,Virginia,2011,14,Y,958,23,Y,765,6,Y,193,44,Y,563,5,Y,243,21,Y,105,4,Y,15,0,N,0,0,N,0,29,Y,32,17,Y,227,24,Y,274,18,Y,194,15,Y,181,4,Y,81
53,WA,Washington,2011,9,Y,496,15,Y,430,2,Y,66,42,Y,83,7,Y,283,15,Y,81,6,Y,24,7,N,5,16,N,5,10,Y,15,6,Y,71,15,Y,143,15,Y,133,10,Y,93,3,Y,57
54,WV,West Virginia,2011,6,Y,93,9,Y,71,3,Y,21,40,Y,21,4,Y,60,46,N,8,0,N,0,0,N,0,0,N,0,20,N,3,7,Y,18,9,Y,20,10,Y,22,8,Y,22,2,N,9
55,WI,Wisconsin,2011,5,Y,250,9,Y,201,2,Y,49,38,Y,104,2,Y,89,18,Y,42,6,N,6,5,N,2,0,N,0,16,N,7,7,Y,66,10,Y,75,7,Y,47,5,Y,43,1,Y,18
56,WY,Wyoming,2011,3,Y,15,6,Y,13,1,N,2,25,N,1,3,Y,12,3,N,1,0,N,0,0,N,0,0,N,0,19,N,1,1,N,1,3,N,2,3,N,2,6,N,5,4,N,5
72,PR,Puerto Rico,2011,25,Y,779,39,Y,569,13,Y,210,-9,-,0,-9,-,0,-9,-,779,-9,-,0,-9,-,0,-9,-,0,-9,-,0,16,Y,101,40,Y,193,39,Y,186,41,Y,200,10,Y,98
1,AL,Alabama,2012,17,Y,684,28,Y,543,7,Y,141,46,Y,468,6,Y,168,12,Y,16,6,N,3,0,N,0,0,N,0,71,Y,29,26,Y,206,32,Y,194,21,Y,127,15,Y,103,4,Y,55
2,AK,Alaska,2012,5,Y,29,6,Y,20,3,N,9,20,N,4,3,N,10,9,N,3,9,N,3,8,N,6,0,N,0,7,N,2,4,N,5,5,N,5,8,N,7,9,N,9,1,N,2
4,AZ,Arizona,2012,12,Y,644,21,Y,553,3,Y,90,49,Y,101,8,Y,249,15,Y,221,10,Y,15,22,Y,45,0,N,0,16,Y,12,11,Y,124,22,Y,196,18,Y,147,15,Y,122,3,Y,55
5,AR,Arkansas,2012,10,Y,254,17,Y,207,4,Y,47,36,Y,129,5,Y,99,14,Y,20,0,N,0,6,N,1,0,N,0,20,N,6,15,Y,72,20,Y,78,11,Y,41,12,Y,47,2,Y,15
6,CA,California,2012,17,Y,5280,30,Y,4718,4,Y,562,49,Y,913,12,Y,1646,20,Y,2259,7,Y,316,10,Y,15,16,Y,19,17,Y,113,15,Y,975,31,Y,1712,23,Y,1191,19,Y,1009,4,Y,393
8,CO,Colorado,2012,9,Y,386,15,Y,329,3,Y,58,38,Y,62,6,Y,192,15,Y,116,3,N,4,18,N,5,40,N,2,8,N,5,9,Y,76,18,Y,133,14,Y,99,9,Y,65,1,Y,13
9,CT,Connecticut,2012,10,Y,299,15,Y,226,5,Y,73,43,Y,124,4,Y,79,22,Y,84,4,N,5,17,N,1,100,N,1,12,N,4,8,Y,47,18,Y,79,17,Y,75,12,Y,66,3,Y,32
10,DE,Delaware,2012,18,Y,139,27,Y,100,10,Y,39,55,Y,87,8,Y,39,16,N,9,4,N,1,0,N,0,0,N,0,28,N,3,23,Y,34,33,Y,38,26,Y,29,17,Y,23,6,Y,16
11,DC,Washington DC,2012,114,Y,633,175,Y,454,61,Y,179,175,Y,455,47,Y,98,111,Y,57,15,N,3,83,N,1,0,N,0,193,Y,19,117,Y,127,131,Y,186,155,Y,134,142,Y,108,55,Y,77
12,FL,Florida,2012,28,Y,4664,45,Y,3579,13,Y,1084,90,Y,2184,13,Y,1280,30,Y,1111,8,Y,32,12,N,5,21,N,2,27,Y,50,29,Y,848,48,Y,1149,43,Y,1045,38,Y,1036,10,Y,586
13,GA,Georgia,2012,35,Y,2836,56,Y,2206,15,Y,630,87,Y,2116,10,Y,450,26,Y,166,7,Y,20,25,N,5,25,N,1,82,Y,78,42,Y,717,58,Y,784,42,Y,583,37,Y,524,10,Y,228
15,HI,Hawaii,2012,8,Y,87,13,Y,76,2,N,11,0,N,0,10,Y,30,13,Y,12,4,Y,21,0,N,0,12,Y,12,6,Y,12,4,N,9,14,Y,28,11,Y,18,12,Y,22,3,N,10
16,ID,Idaho,2012,3,Y,38,5,Y,32,1,N,6,28,N,2,3,Y,30,4,N,5,0,N,0,0,N,0,0,N,0,6,N,1,3,N,7,5,N,10,4,N,7,3,N,6,2,N,7
17,IL,Illinois,2012,17,Y,1800,29,Y,1489,6,Y,311,60,Y,897,6,Y,419,24,Y,378,5,Y,26,14,N,2,0,N,0,71,Y,77,21,Y,440,32,Y,563,21,Y,363,14,Y,262,5,Y,171
18,IN,Indiana,2012,10,Y,511,16,Y,416,3,Y,94,51,Y,238,5,Y,201,18,Y,50,4,N,4,0,N,0,68,N,1,26,Y,16,14,Y,157,18,Y,147,12,Y,98,8,Y,73,2,Y,36
19,IA,Iowa,2012,5,Y,119,8,Y,99,2,Y,21,37,Y,26,3,Y,74,8,N,9,8,N,4,0,N,0,0,N,0,26,N,6,4,Y,23,9,Y,33,8,Y,28,6,Y,24,1,Y,12
20,KS,Kansas,2012,7,Y,156,11,Y,128,2,Y,28,37,Y,49,4,Y,69,13,Y,28,5,N,3,5,N,1,0,N,0,16,N,6,7,Y,34,13,Y,48,9,Y,30,7,Y,28,2,Y,16
21,KY,Kentucky,2012,10,Y,370,17,Y,310,3,Y,61,47,Y,132,6,Y,197,22,Y,22,9,N,4,0,N,0,0,N,0,41,Y,16,14,Y,98,21,Y,121,13,Y,73,9,Y,53,2,Y,26
22,LA,Louisiana,2012,28,Y,1059,40,Y,740,16,Y,318,68,Y,798,9,Y,200,25,Y,41,11,N,7,9,N,2,0,N,0,26,N,9,36,Y,277,45,Y,291,36,Y,201,31,Y,199,8,Y,91
