State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
Illinois,2013,28,6,23,31,19,15,5,6,60,23,6,0,0,47,-1,-1,-1,-1,17
Indiana,2013,15,3,15,18,10,8,2,4,51,18,8,8,0,18,-1,-1,-1,-1,9
Iowa,2013,7,3,4,7,7,7,3,3,35,8,16,0,0,17,-1,-1,-1,-1,5
Kansas,2013,11,2,7,10,12,6,2,3,36,14,2,0,59,25,-1,-1,-1,-1,7
Kentucky,2013,17,4,10,21,15,10,3,7,42,19,9,0,56,31,-1,-1,-1,-1,10
Louisiana,2013,50,15,41,53,46,31,9,12,74,32,9,4,0,35,-1,-1,-1,-1,32
Maine,2013,5,1,2,4,7,4,1,2,82,15,0,0,0,0,-1,-1,-1,-1,3
Maryland,2013,46,17,31,53,41,32,13,8,80,21,6,9,0,77,-1,-1,-1,-1,31
Massachusetts,2013,21,7,10,24,17,21,5,7,60,45,6,0,0,17,-1,-1,-1,-1,14
Michigan,2013,16,3,14,19,11,9,3,3,45,12,5,0,0,16,-1,-1,-1,-1,10
Minnesota,2013,11,3,6,13,8,9,3,4,54,16,1,14,0,13,-1,-1,-1,-1,7
Mississippi,2013,32,9,32,34,25,15,6,5,44,19,4,0,0,140,-1,-1,-1,-1,20
Missouri,2013,17,3,14,17,13,9,2,5,45,11,9,0,0,7,-1,-1,-1,-1,10
Montana,2013,5,1,3,6,5,3,1,2,25,4,16,5,0,27,-1,-1,-1,-1,3
Nebraska,2013,9,2,6,8,11,7,1,3,38,11,3,0,0,7,-1,-1,-1,-1,6
Nevada,2013,34,5,24,41,22,20,5,14,55,25,8,5,8,32,-1,-1,-1,-1,20
New Hampshire,2013,5,1,2,7,3,5,1,3,16,10,4,0,0,17,-1,-1,-1,-1,3
New Jersey,2013,30,10,17,34,27,23,9,7,68,33,2,0,0,74,-1,-1,-1,-1,20
New Mexico,2013,15,2,10,17,13,8,2,5,16,11,4,15,0,10,-1,-1,-1,-1,9
New York,2013,35,9,23,40,28,22,8,7,56,42,6,4,15,121,-1,-1,-1,-1,21
North Carolina,2013,27,7,21,27,22,18,5,6,50,20,7,10,21,25,-1,-1,-1,-1,17
North Dakota,2013,5,1,2,9,5,0,2,2,74,14,0,4,0,0,-1,-1,-1,-1,3
Ohio,2013,19,4,16,21,14,10,3,6,46,23,2,5,36,38,-1,-1,-1,-1,11
Oklahoma,2013,19,3,13,20,15,13,3,8,45,9,12,13,29,11,-1,-1,-1,-1,11
Oregon,2013,12,2,5,12,12,12,1,6,30,14,5,3,9,1,-1,-1,-1,-1,7
Pennsylvania,2013,21,5,15,24,17,16,4,5,69,30,8,34,37,36,-1,-1,-1,-1,13
Rhode Island,2013,16,4,9,20,13,9,5,7,26,22,0,29,0,16,-1,-1,-1,-1,10
South Carolina,2013,30,9,25,33,25,19,6,7,48,23,2,7,0,38,-1,-1,-1,-1,19
South Dakota,2013,7,3,2,7,11,9,1,2,44,15,25,23,0,0,-1,-1,-1,-1,5
Tennessee,2013,25,6,20,30,17,15,4,6,54,19,8,0,0,48,-1,-1,-1,-1,15
Texas,2013,35,8,23,40,25,20,6,10,68,22,9,1,6,61,-1,-1,-1,-1,21
Utah,2013,8,1,4,10,6,5,1,4,46,8,8,0,0,13,-1,-1,-1,-1,5
Vermont,2013,5,0,1,9,4,3,1,2,57,12,0,0,0,15,-1,-1,-1,-1,3
Virginia,2013,24,6,20,25,17,14,5,6,47,17,4,0,0,21,-1,-1,-1,-1,15
Washington,2013,14,2,7,14,15,9,2,6,43,14,5,6,21,7,-1,-1,-1,-1,8
West Virginia,2013,8,2,4,12,6,7,2,3,31,32,0,0,0,38,-1,-1,-1,-1,5
Wisconsin,2013,9,2,6,11,6,5,2,3,37,16,6,6,0,9,-1,-1,-1,-1,5
Wyoming,2013,6,1,4,5,6,3,1,3,13,5,0,0,0,0,-1,-1,-1,-1,3
Puerto Rico,2013,38,11,18,39,31,36,11,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,24
Alabama,2014,29,6,27,38,19,12,4,6,48,13,2,0,0,49,-1,-1,-1,-1,17
Alaska,2014,11,3,6,15,6,7,2,5,34,9,0,15,0,4,-1,-1,-1,-1,7
Arizona,2014,25,4,16,29,21,14,3,9,63,18,10,26,10,5,-1,-1,-1,-1,14
Arkansas,2014,24,4,23,23,16,15,3,7,46,18,0,0,0,55,-1,-1,-1,-1,14
California,2014,31,4,16,33,24,18,5,13,49,21,8,10,6,14,-1,-1,-1,-1,17
Colorado,2014,16,2,8,18,14,10,2,6,41,14,6,4,0,9,-1,-1,-1,-1,9
Connecticut,2014,15,5,10,19,12,13,4,4,49,17,5,35,0,3,-1,-1,-1,-1,10
Delaware,2014,23,11,15,28,30,22,5,8,48,14,0,0,0,46,-1,-1,-1,-1,17
Washington DC,2014,114,25,61,75,96,82,36,29,102,64,15,95,403,97,-1,-1,-1,-1,67
Florida,2014,51,13,32,62,43,40,11,15,90,38,10,24,50,28,-1,-1,-1,-1,31
Georgia,2014,45,10,32,54,31,22,9,7,69,22,5,13,30,42,-1,-1,-1,-1,27
Hawaii,2014,17,2,6,19,16,9,3,13,40,7,5,0,15,8,-1,-1,-1,-1,9
Idaho,2014,4,0,1,3,4,3,1,2,12,2,0,0,0,0,-1,-1,-1,-1,2
Illinois,2014,28,5,22,32,20,13,4,7,57,22,6,14,0,33,-1,-1,-1,-1,16
Indiana,2014,15,3,12,19,11,8,2,5,42,18,10,0,0,26,-1,-1,-1,-1,9
Iowa,2014,7,1,4,8,5,5,2,3,16,9,2,0,0,29,-1,-1,-1,-1,4
Kansas,2014,9,3,7,12,7,7,1,3,21,12,5,22,0,23,-1,-1,-1,-1,6
Kentucky,2014,17,3,10,20,16,11,2,7,38,33,13,0,0,16,-1,-1,-1,-1,10
Louisiana,2014,56,18,46,68,49,33,9,13,83,50,20,17,0,31,-1,-1,-1,-1,37
Maine,2014,8,3,5,5,8,10,3,3,160,28,0,0,0,0,-1,-1,-1,-1,5
Maryland,2014,42,15,28,54,38,27,9,7,73,24,3,0,0,40,-1,-1,-1,-1,28
Massachusetts,2014,20,6,10,23,19,16,5,5,65,38,10,0,56,5,-1,-1,-1,-1,13
Michigan,2014,17,4,15,22,11,9,2,4,45,14,7,7,49,11,-1,-1,-1,-1,10
Minnesota,2014,11,3,7,14,13,6,2,4,52,17,6,12,0,7,-1,-1,-1,-1,7
Mississippi,2014,34,9,32,44,20,16,6,6,45,25,4,0,0,79,-1,-1,-1,-1,21
Missouri,2014,17,3,15,20,13,8,2,5,45,14,7,5,20,10,-1,-1,-1,-1,10
Montana,2014,3,1,1,6,4,2,0,2,0,4,0,2,173,0,-1,-1,-1,-1,2
Nebraska,2014,11,1,5,13,11,7,1,4,42,7,3,9,0,12,-1,-1,-1,-1,6
Nevada,2014,34,5,24,40,23,20,4,13,56,25,11,15,15,22,-1,-1,-1,-1,20
New Hampshire,2014,6,1,4,8,3,5,1,2,47,21,4,0,0,8,-1,-1,-1,-1,4
New Jersey,2014,32,10,18,40,29,22,8,6,72,37,2,11,93,48,-1,-1,-1,-1,20
New Mexico,2014,15,2,7,19,11,9,2,4,26,9,0,19,0,5,-1,-1,-1,-1,8
New York,2014,37,9,23,42,32,23,8,9,64,40,9,7,15,75,-1,-1,-1,-1,23
North Carolina,2014,28,7,24,32,19,16,5,6,52,21,8,14,21,30,-1,-1,-1,-1,17
North Dakota,2014,6,1,5,4,6,7,1,2,92,0,27,4,0,0,-1,-1,-1,-1,4
Ohio,2014,18,3,15,22,14,8,2,5,45,25,3,6,35,21,-1,-1,-1,-1,10
Oklahoma,2014,18,4,11,22,14,12,2,8,37,12,7,9,29,16,-1,-1,-1,-1,11
Oregon,2014,13,1,5,15,12,9,2,6,26,14,5,3,26,9,-1,-1,-1,-1,7
Pennsylvania,2014,20,5,14,22,18,14,4,4,62,32,7,28,0,20,-1,-1,-1,-1,12
Rhode Island,2014,18,5,8,19,20,14,4,6,50,25,11,0,0,39,-1,-1,-1,-1,11
South Carolina,2014,35,7,31,37,22,22,6,7,56,16,0,14,60,39,-1,-1,-1,-1,21
South Dakota,2014,5,3,2,7,11,5,1,2,101,5,0,8,0,0,-1,-1,-1,-1,4
Tennessee,2014,24,6,22,28,19,13,4,6,53,23,4,7,38,26,-1,-1,-1,-1,15
Texas,2014,37,8,26,41,27,20,5,10,70,23,9,4,7,51,-1,-1,-1,-1,22
Utah,2014,9,2,4,11,8,3,2,4,50,11,15,0,0,0,-1,-1,-1,-1,5
Vermont,2014,6,2,7,4,3,5,1,3,75,0,0,0,0,15,-1,-1,-1,-1,4
Virginia,2014,23,6,18,26,17,13,4,6,44,16,4,5,0,16,-1,-1,-1,-1,14
Washington,2014,13,3,6,14,12,10,2,5,44,10,8,8,15,7,-1,-1,-1,-1,8
West Virginia,2014,10,2,9,11,10,7,2,5,31,16,9,0,0,13,-1,-1,-1,-1,6
Wisconsin,2014,8,1,7,9,6,5,1,2,37,16,5,8,0,12,-1,-1,-1,-1,5
Wyoming,2014,4,1,0,6,5,4,0,1,61,5,0,0,0,0,-1,-1,-1,-1,2
Puerto Rico,2014,38,9,23,35,39,27,9,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,23
Alabama,2015,19,5,19,23,13,10,3,4,33,13,6,4,0,38,-1,-1,-1,-1,12
Alaska,2015,6,2,3,5,4,5,3,2,19,5,3,11,0,0,-1,-1,-1,-1,4
Arizona,2015,22,4,13,26,18,14,3,8,57,16,9,24,48,9,-1,-1,-1,-1,13
Arkansas,2015,17,4,15,20,10,13,3,5,37,12,5,0,37,12,-1,-1,-1,-1,10
California,2015,26,3,15,28,19,15,4,10,47,18,6,11,12,11,-1,-1,-1,-1,15
Colorado,2015,14,2,9,15,12,9,1,6,34,13,2,10,0,10,-1,-1,-1,-1,8
Connecticut,2015,14,4,9,18,12,9,4,4,33,19,4,33,0,5,-1,-1,-1,-1,9
Delaware,2015,23,5,12,29,18,16,6,7,35,19,0,0,0,16,-1,-1,-1,-1,14
Washington DC,2015,107,30,69,95,79,65,27,19,105,92,16,0,320,46,-1,-1,-1,-1,66
Florida,2015,45,12,32,55,40,33,9,12,80,37,12,11,92,19,-1,-1,-1,-1,28
Georgia,2015,48,10,34,60,31,24,8,8,70,24,6,10,19,39,-1,-1,-1,-1,28
Hawaii,2015,18,1,7,23,10,14,2,14,39,10,4,31,13,9,-1,-1,-1,-1,10
Idaho,2015,5,1,3,6,2,4,1,2,91,6,16,0,0,0,-1,-1,-1,-1,3
Illinois,2015,24,4,20,28,15,11,3,5,50,18,7,25,34,33,-1,-1,-1,-1,14
Indiana,2015,18,5,11,28,17,12,2,8,42,16,6,8,0,16,-1,-1,-1,-1,12
Iowa,2015,8,2,6,7,7,6,2,3,30,14,10,0,0,18,-1,-1,-1,-1,5
Kansas,2015,10,2,7,12,9,6,2,3,32,14,7,5,0,14,-1,-1,-1,-1,6
Kentucky,2015,15,3,12,20,12,8,2,6,44,12,10,0,0,21,-1,-1,-1,-1,9
Louisiana,2015,46,14,37,56,37,25,9,10,68,35,4,37,60,10,-1,-1,-1,-1,29
Maine,2015,6,2,5,7,5,5,2,2,104,32,0,0,0,0,-1,-1,-1,-1,4
Maryland,2015,41,14,27,52,34,29,9,6,70,23,6,24,0,36,-1,-1,-1,-1,27
Massachusetts,2015,16,5,7,20,16,13,4,5,47,29,6,29,0,9,-1,-1,-1,-1,10
Michigan,2015,15,3,13,18,10,9,2,3,40,12,5,0,0,8,-1,-1,-1,-1,9
Minnesota,2015,10,3,8,12,9,6,2,3,53,12,6,0,0,7,-1,-1,-1,-1,6
Mississippi,2015,34,9,36,37,20,15,6,5,45,22,12,26,0,31,-1,-1,-1,-1,21
Missouri,2015,16,3,14,18,11,8,2,5,39,12,9,0,18,20,-1,-1,-1,-1,9
Montana,2015,4,1,4,4,3,1,1,2,22,11,0,0,0,0,-1,-1,-1,-1,2
Nebraska,2015,9,2,8,8,7,7,0,4,25,8,0,42,0,5,-1,-1,-1,-1,5
Nevada,2015,35,5,19,40,30,23,4,13,61,24,15,14,42,13,-1,-1,-1,-1,20
New Hampshire,2015,4,0,3,4,3,2,1,2,22,3,0,0,0,8,-1,-1,-1,-1,2
New Jersey,2015,25,7,15,32,20,17,6,5,55,29,4,0,0,26,-1,-1,-1,-1,16
New Mexico,2015,15,1,8,18,12,7,1,5,15,10,0,11,0,0,-1,-1,-1,-1,8
New York,2015,31,7,18,36,24,20,7,6,52,34,6,2,41,76,-1,-1,-1,-1,19
North Carolina,2015,27,6,21,31,18,15,5,6,48,19,5,15,19,27,-1,-1,-1,-1,16
North Dakota,2015,4,3,4,5,9,2,1,1,81,11,11,0,0,12,-1,-1,-1,-1,4
Ohio,2015,16,4,14,20,11,9,2,5,41,16,5,10,31,20,-1,-1,-1,-1,10
Oklahoma,2015,17,3,10,23,13,9,2,7,32,15,13,9,25,13,-1,-1,-1,-1,10
Oregon,2015,11,1,4,13,9,9,2,6,32,9,4,8,16,1,-1,-1,-1,-1,6
Pennsylvania,2015,17,5,13,21,15,12,3,4,56,24,6,13,34,12,-1,-1,-1,-1,11
Rhode Island,2015,11,3,5,12,11,12,2,4,32,18,3,0,0,14,-1,-1,-1,-1,7
South Carolina,2015,28,7,23,33,20,16,5,6,44,25,3,7,44,20,-1,-1,-1,-1,17
South Dakota,2015,5,2,4,5,5,4,1,2,54,14,0,6,0,0,-1,-1,-1,-1,3
Tennessee,2015,21,5,18,28,15,12,3,6,47,18,9,13,34,5,-1,-1,-1,-1,13
Texas,2015,33,7,23,39,24,18,5,9,63,21,8,7,27,38,-1,-1,-1,-1,20
Utah,2015,9,1,3,10,8,6,1,4,34,11,12,9,0,0,-1,-1,-1,-1,5
Vermont,2015,2,2,0,7,4,3,0,2,0,22,12,0,0,0,-1,-1,-1,-1,2
Virginia,2015,23,5,19,27,17,10,4,5,45,18,6,5,37,8,-1,-1,-1,-1,14
Washington,2015,13,2,6,16,11,8,2,5,41,13,7,8,13,5,-1,-1,-1,-1,7
West Virginia,2015,8,2,7,9,10,3,1,4,22,9,8,30,0,11,-1,-1,-1,-1,5
Wisconsin,2015,8,1,6,11,6,5,1,2,33,13,6,10,0,9,-1,-1,-1,-1,5
Wyoming,2015,5,1,5,5,4,3,1,2,33,7,0,0,0,0,-1,-1,-1,-1,3
Puerto Rico,2015,30,6,12,31,26,25,7,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,17
