State,Year,Male Cases,Male Rate,Female Cases,Female Rate,Age 13-24 Cases,Age 13-24 Rate,Age 25-34 Cases,Age 25-34 Rate,Age 35-44 Cases,Age 35-44 Rate,Age 45-54 Cases,Age 45-54 Rate,Age 55+ Cases,Age 55+ Rate,White Cases,White Rate,Black Cases,Black Rate,Hispanic Cases,Hispanic Rate,American Indian/Alaska Native Cases,American Indian/Alaska Native Rate,Asian Cases,Asian Rate,Native Hawaiian/Other Pacific Islander Cases,Native Hawaiian/Other Pacific Islander Rate,Multiple Race Cases,Multiple Race Rate,Heterosexual Contact Total Cases,IDU Total Cases,MSM Cases,Other Transmission Category Total Cases,State Cases,State Rate
Kansas,2011,117,10,22,2,33,7,36,9,36,10,27,7,9,1,62,3,43,32,28,13,0,0,2,4,0,0,5,13,28,13,92,0,140,6
Kentucky,2011,272,15,46,3,78,11,83,15,61,11,71,11,26,2,169,5,109,40,25,26,0,0,3,7,0,0,12,34,60,17,230,0,318,9
Louisiana,2011,869,48,366,19,321,41,374,58,235,42,219,34,86,8,235,10,909,78,75,48,2,9,3,5,0,0,12,36,445,114,644,1,1235,33
Maine,2011,40,7,10,2,4,2,11,8,9,6,21,10,4,1,32,3,16,141,2,17,0,0,0,0,0,0,0,0,13,5,30,1,50,4
Maryland,2011,1126,48,485,19,346,36,406,52,311,40,377,42,170,12,229,8,1169,84,129,35,2,18,14,5,0,0,68,90,637,143,793,8,1611,33
Massachusetts,2011,552,21,215,7,100,9,180,21,234,27,173,17,81,5,270,6,261,74,192,38,0,0,28,9,0,0,18,27,236,117,385,2,768,14
Michigan,2011,635,16,161,4,248,15,209,18,148,12,134,9,58,2,234,4,486,43,47,15,0,0,13,7,0,0,15,13,175,56,542,3,797,10
Minnesota,2011,226,10,78,4,57,7,94,13,81,12,55,7,18,1,141,4,114,55,25,14,3,7,7,4,0,0,14,25,92,12,190,0,305,7
Mississippi,2011,397,34,144,11,160,31,146,37,98,26,86,21,51,7,82,6,411,47,20,32,0,0,1,5,0,0,29,174,183,27,323,0,541,22
Missouri,2011,460,19,76,3,151,15,152,19,104,14,91,10,39,2,227,6,264,48,36,23,0,0,2,2,0,0,7,11,84,25,410,0,536,11
Montana,2011,17,4,4,1,2,1,3,2,7,6,5,4,4,1,19,3,0,0,1,5,1,2,0,0,0,0,0,0,4,3,13,0,21,3
Nebraska,2011,70,10,10,1,12,4,33,13,15,7,19,8,1,0,46,4,13,21,12,10,2,18,1,4,0,0,6,39,13,2,61,0,81,5
Nevada,2011,333,30,55,5,92,21,139,36,65,17,61,16,32,5,131,10,101,58,111,21,2,10,32,18,1,8,10,20,54,24,286,3,388,17
New Hampshire,2011,35,6,6,1,5,2,8,6,5,3,15,7,7,2,32,3,4,35,3,11,0,0,1,4,0,0,1,9,-2,-2,-2,-2,41,4
New Jersey,2011,961,27,330,9,222,16,350,31,293,24,275,20,150,7,250,6,589,63,364,29,0,0,15,2,0,0,73,97,392,191,678,2,1291,18
New Mexico,2011,119,14,20,2,23,7,46,17,38,15,20,7,12,2,32,4,7,23,74,10,21,15,1,4,0,0,4,21,19,17,92,1,140,8
New York,2011,3045,39,964,11,800,25,1168,43,853,33,762,27,426,8,815,8,1665,70,1239,45,3,7,90,7,0,0,197,102,1134,421,2352,6,4009,24
North Carolina,2011,1151,30,343,8,359,23,350,28,302,23,321,23,163,7,322,6,981,59,100,18,12,14,11,6,1,23,66,73,447,101,912,2,1494,19
North Dakota,2011,11,4,1,0,4,3,5,5,1,1,1,1,1,1,9,2,2,30,1,10,0,0,0,0,0,0,0,0,1,0,11,0,12,2
Ohio,2011,839,18,222,5,289,15,296,21,229,16,179,11,69,2,443,6,513,46,61,23,1,6,6,4,0,0,38,32,246,60,726,2,1062,11
Oklahoma,2011,263,17,58,4,82,13,84,16,79,17,51,10,26,3,157,7,94,42,29,12,19,8,2,4,0,0,20,16,61,34,203,0,321,10
Oregon,2011,216,14,28,2,38,6,62,12,64,13,50,9,30,3,191,7,11,21,35,11,1,3,4,3,0,0,2,3,22,19,175,0,244,8
Pennsylvania,2011,1102,21,323,6,311,15,332,21,347,22,285,15,149,4,414,5,756,69,208,38,0,0,12,4,0,0,35,33,592,129,673,1,1425,13
Rhode Island,2011,90,21,12,3,11,6,31,24,23,17,28,17,9,3,55,8,15,33,21,20,0,0,2,8,0,0,8,67,24,3,69,0,102,11
South Carolina,2011,581,31,181,9,222,29,193,32,151,26,117,18,79,6,134,5,561,54,47,27,1,7,0,0,0,0,19,50,246,39,453,0,761,20
South Dakota,2011,13,4,8,2,1,1,6,6,4,4,6,5,4,2,11,2,2,24,3,19,4,8,0,0,0,0,1,12,5,7,7,0,22,3
Tennessee,2011,655,26,207,8,222,22,213,26,208,25,163,18,55,3,282,7,500,58,45,21,0,0,6,8,0,0,30,55,279,40,525,0,862,16
Texas,2011,3502,35,902,9,1060,24,1295,35,978,28,726,21,345,6,893,9,1621,68,1625,23,2,3,74,9,0,0,189,95,1064,281,2910,6,4404,21
Utah,2011,89,8,15,1,22,4,31,7,24,7,19,6,7,1,64,4,5,25,24,10,0,0,6,13,1,6,3,11,14,8,60,1,104,5
Vermont,2011,11,4,1,0,2,2,3,4,5,7,2,2,0,0,10,2,1,23,1,13,0,0,0,0,0,0,0,0,2,2,9,0,12,2
Virginia,2011,765,23,193,6,227,17,274,24,194,18,181,15,81,4,243,5,563,44,105,21,0,0,15,4,0,0,32,29,258,41,633,3,958,14
Washington,2011,430,15,66,2,71,6,143,15,133,15,93,10,57,3,283,7,83,42,81,15,5,7,24,6,5,16,15,10,63,39,338,2,496,9
West Virginia,2011,71,9,21,3,18,7,20,9,22,10,22,8,9,2,60,4,21,40,8,46,0,0,0,0,0,0,3,20,26,14,46,0,93,6
Wisconsin,2011,201,9,49,2,66,7,75,10,47,7,43,5,18,1,89,2,104,38,42,18,2,5,6,6,0,0,7,16,54,18,167,0,250,5
Wyoming,2011,13,6,2,1,1,1,2,3,2,3,5,6,5,4,12,3,1,25,1,3,0,0,0,0,0,0,1,19,4,0,10,0,15,3
Puerto Rico,2011,569,39,210,13,101,16,193,40,186,39,200,41,98,10,0,-9,0,-9,779,-9,0,-9,0,-9,0,-9,0,-9,323,153,283,1,779,25
Alabama,2012,543,28,141,7,206,26,194,32,127,21,103,15,55,4,168,6,468,46,16,12,0,0,3,6,0,0,29,71,167,26,474,0,684,17
Alaska,2012,20,6,9,3,5,4,5,5,7,8,9,9,2,1,10,3,4,20,3,9,6,8,3,9,0,0,2,7,11,2,13,1,29,5
Arizona,2012,553,21,90,3,124,11,196,22,147,18,122,15,55,3,249,8,101,49,221,15,45,22,15,10,0,0,12,16,116,62,433,0,644,12
Arkansas,2012,207,17,47,4,72,15,78,20,41,11,47,12,15,2,99,5,129,36,20,14,1,6,0,0,0,0,6,20,47,13,184,0,254,10
California,2012,4718,30,562,4,975,15,1712,31,1191,23,1009,19,393,4,1646,12,913,49,2259,20,15,10,316,7,19,16,113,17,616,269,4138,4,5280,17
Colorado,2012,329,15,58,3,76,9,133,18,99,14,65,9,13,1,192,6,62,38,116,15,5,18,4,3,2,40,5,8,62,19,275,0,386,9
Connecticut,2012,226,15,73,5,47,8,79,18,75,17,66,12,32,3,79,4,124,43,84,22,1,17,5,4,1,100,4,12,97,41,154,1,299,10
Delaware,2012,100,27,39,10,34,23,38,33,29,26,23,17,16,6,39,8,87,55,9,16,0,0,1,4,0,0,3,28,65,10,61,1,139,18
Washington DC,2012,454,175,179,61,127,117,186,131,134,155,108,142,77,55,98,47,455,175,57,111,1,83,3,15,0,0,19,193,209,42,369,0,633,114
Florida,2012,3579,45,1084,13,848,29,1149,48,1045,43,1036,38,586,10,1280,13,2184,90,1111,30,5,12,32,8,2,21,50,27,1739,206,2617,12,4664,28
Georgia,2012,2206,56,630,15,717,42,784,58,583,42,524,37,228,10,450,10,2116,87,166,26,5,25,20,7,1,25,78,82,784,161,1830,5,2836,35
Hawaii,2012,76,13,11,2,9,4,28,14,18,11,22,12,10,3,30,10,0,0,12,13,0,0,21,4,12,12,12,6,10,6,66,0,87,8
Idaho,2012,32,5,6,1,7,3,10,5,7,4,6,3,7,2,30,3,2,28,5,4,0,0,0,0,0,0,1,6,3,4,22,0,38,3
Illinois,2012,1489,29,311,6,440,21,563,32,363,21,262,14,171,5,419,6,897,60,378,24,2,14,26,5,0,0,77,71,374,77,1274,27,1800,17
Indiana,2012,416,16,94,3,157,14,147,18,98,12,73,8,36,2,201,5,238,51,50,18,0,0,4,4,1,68,16,26,153,22,316,0,511,10
Iowa,2012,99,8,21,2,23,4,33,9,28,8,24,6,12,1,74,3,26,37,9,8,0,0,4,8,0,0,6,26,25,9,73,0,119,5
Kansas,2012,128,11,28,2,34,7,48,13,30,9,28,7,16,2,69,4,49,37,28,13,1,5,3,5,0,0,6,16,31,6,111,0,156,7
Kentucky,2012,310,17,61,3,98,14,121,21,73,13,53,9,26,2,197,6,132,47,22,22,0,0,4,9,0,0,16,41,62,27,266,2,370,10
Louisiana,2012,740,40,318,16,277,36,291,45,201,36,199,31,91,8,200,9,798,68,41,25,2,9,7,11,0,0,9,26,375,100,551,3,1059,28
Maine,2012,32,6,14,2,2,1,8,6,15,10,11,5,9,2,33,3,9,76,1,8,0,0,2,17,0,0,1,8,15,2,29,0,46,4
Maryland,2012,1105,47,425,17,329,35,402,50,319,41,300,33,181,12,198,7,1144,81,104,27,3,27,19,7,0,0,62,79,602,124,777,7,1531,31
Massachusetts,2012,588,22,213,7,116,10,222,25,181,21,190,19,92,5,295,7,247,69,218,42,2,23,27,8,0,0,12,17,241,100,427,4,800,14
Michigan,2012,669,17,151,4,265,16,226,19,152,13,121,8,56,2,239,4,499,44,36,11,3,7,11,5,0,0,32,27,178,50,572,1,820,10
Minnesota,2012,255,12,66,3,56,7,115,16,70,10,60,8,21,2,138,4,119,56,42,23,9,21,4,2,1,60,8,14,73,19,214,1,321,7
Mississippi,2012,369,31,90,7,147,28,125,32,72,19,64,16,51,7,75,5,344,39,12,20,1,9,2,9,0,0,25,144,131,17,303,1,459,19
Missouri,2012,462,19,86,3,157,16,167,21,96,13,88,10,39,2,214,5,291,52,30,19,0,0,5,6,0,0,9,14,95,25,407,0,548,11
Montana,2012,16,4,4,1,3,2,6,5,4,4,7,5,0,0,13,2,1,24,2,9,2,5,0,0,0,0,2,14,4,3,12,0,20,2
Nebraska,2012,73,10,12,2,15,5,25,10,25,11,14,6,6,1,42,3,26,40,11,9,1,9,1,4,1,119,3,19,21,4,50,2,85,6
Nevada,2012,328,29,47,4,82,19,114,29,92,24,61,16,26,4,140,11,80,44,118,21,2,10,21,11,3,25,11,22,50,24,280,0,375,16
New Hampshire,2012,37,7,11,2,8,4,11,8,13,8,10,5,5,1,36,3,7,57,3,10,0,0,0,0,0,0,2,18,-2,-2,-2,-2,48,4
New Jersey,2012,1079,30,368,10,269,20,398,35,318,27,314,23,148,6,282,6,623,66,437,34,0,0,26,4,1,48,78,101,412,208,793,3,1447,20
New Mexico,2012,112,13,10,1,21,6,41,15,31,13,24,9,6,1,28,4,2,7,70,9,21,15,0,0,0,0,2,10,20,10,78,0,122,7
New York,2012,2962,37,835,10,770,24,1154,42,771,30,699,25,403,8,777,8,1562,66,1170,41,3,7,85,6,0,0,200,100,1010,360,2317,5,3797,23
North Carolina,2012,995,26,298,7,308,19,349,28,242,19,255,19,139,6,286,5,844,50,96,16,12,14,11,6,1,22,42,44,387,73,807,1,1293,16
North Dakota,2012,6,2,5,2,3,2,3,3,3,4,1,1,1,1,4,1,5,64,1,8,1,4,0,0,0,0,0,0,5,2,4,0,11,2
Ohio,2012,858,18,186,4,285,15,315,22,186,13,180,11,78,2,427,5,489,43,64,24,0,0,5,3,0,0,59,48,207,55,745,5,1044,11
Oklahoma,2012,246,16,48,3,74,12,99,19,47,10,49,10,25,3,153,7,70,31,32,13,14,6,6,10,0,0,18,14,48,27,197,0,294,9
Oregon,2012,241,15,30,2,34,6,80,15,76,15,52,10,29,3,188,7,20,37,49,15,0,0,8,6,0,0,5,7,33,13,200,0,271,8
Pennsylvania,2012,1102,21,371,7,318,15,375,24,310,20,315,17,154,4,409,5,784,71,218,38,3,21,21,7,2,82,36,33,589,137,711,1,1473,14
Rhode Island,2012,61,14,16,4,5,3,26,19,24,18,15,10,7,3,36,5,15,33,22,21,0,0,0,0,0,0,4,33,28,3,43,0,77,9
South Carolina,2012,560,29,164,8,215,27,196,32,129,22,113,17,72,6,176,7,504,48,34,19,1,7,1,2,0,0,7,19,216,36,449,0,723,18
South Dakota,2012,15,5,9,3,0,0,3,3,7,8,13,12,1,0,11,2,3,29,0,0,10,20,0,0,0,0,0,0,12,3,8,0,25,4
Tennessee,2012,680,26,202,7,242,23,243,29,162,19,147,16,87,5,282,7,511,59,48,22,1,8,3,4,0,0,36,64,255,42,567,1,882,16
Texas,2012,3634,35,862,8,1090,24,1417,38,952,27,696,20,341,6,939,9,1636,67,1697,23,1,1,53,6,4,26,166,79,1020,284,3056,10,4496,21
Utah,2012,94,9,20,2,14,3,43,10,26,7,22,7,10,2,75,4,7,34,24,9,4,19,1,2,0,0,4,14,24,5,67,0,115,5
Vermont,2012,9,4,4,2,3,3,2,3,3,4,3,3,2,1,9,2,2,44,0,0,0,0,1,14,0,0,1,15,3,3,8,0,14,3
Virginia,2012,769,23,198,6,235,18,297,26,198,18,153,13,83,4,253,6,571,45,102,20,2,11,18,5,0,0,21,18,258,35,652,2,967,14
Washington,2012,425,15,84,3,80,7,162,17,132,15,91,10,43,2,287,7,91,45,66,12,5,7,30,7,7,22,23,14,87,29,348,2,509,9
West Virginia,2012,64,8,20,2,19,7,24,11,21,9,14,5,7,1,50,3,22,41,6,33,0,0,0,0,0,0,6,39,22,6,51,1,84,5
Wisconsin,2012,180,8,43,2,56,6,63,9,43,6,43,5,18,1,87,2,92,34,35,14,0,0,2,2,0,0,6,13,48,15,154,1,223,5
Wyoming,2012,6,3,1,0,1,1,1,1,2,3,0,0,3,2,4,1,1,15,1,3,1,11,0,0,0,0,0,0,2,0,6,0,7,2
Puerto Rico,2012,584,40,207,13,134,21,203,43,171,37,179,37,104,10,1,-9,0,-9,790,-9,0,-9,0,-9,0,-9,0,-9,331,122,316,0,791,26
Alabama,2013,518,27,145,7,193,24,190,31,117,19,101,15,63,5,155,6,467,45,18,13,1,5,2,4,2,118,18,43,178,31,442,1,664,16
Alaska,2013,18,6,6,2,4,3,10,9,2,2,2,2,5,3,8,2,5,24,2,6,4,5,3,9,0,0,1,4,9,1,12,0,24,4
Arizona,2013,636,24,93,3,152,14,235,27,169,20,111,13,60,3,291,9,117,55,255,17,48,23,6,4,1,10,10,12,107,68,513,2,728,13
Arkansas,2013,214,18,56,5,85,18,78,20,61,17,30,8,16,2,96,5,140,39,18,13,0,0,1,3,0,0,15,47,62,10,192,0,270,11
California,2013,4415,28,543,3,899,14,1635,29,1111,22,876,17,436,5,1510,11,907,49,2096,19,19,14,296,7,18,15,112,17,644,262,3860,3,4958,16
Colorado,2013,280,13,46,2,57,7,117,15,78,11,52,7,22,2,156,5,56,33,99,12,2,7,8,7,0,0,5,7,61,15,241,0,326,8
Connecticut,2013,267,18,68,4,66,11,84,19,65,15,72,13,47,5,103,5,129,44,95,23,0,0,4,3,0,0,4,11,99,42,188,2,335,11
Delaware,2013,89,24,30,8,24,16,32,27,15,13,30,23,18,7,37,7,68,43,9,16,0,0,0,0,0,0,5,45,46,9,60,0,119,15
Washington DC,2013,400,152,132,44,104,97,178,121,97,108,98,128,56,39,84,39,393,150,45,85,0,0,4,19,1,444,5,53,157,42,313,2,532,95
Florida,2013,3517,43,1145,13,844,29,1266,51,979,41,949,35,623,10,1207,12,2104,86,1239,33,2,5,46,10,1,10,62,32,1648,203,2711,18,4662,28
Georgia,2013,2075,52,547,13,663,39,804,59,487,36,471,34,197,8,432,9,1936,79,190,29,1,6,10,3,0,0,53,53,737,122,1708,4,2622,32
Hawaii,2013,92,16,6,1,11,5,29,14,23,13,25,14,10,3,29,10,4,17,15,15,1,34,25,5,16,15,9,5,10,6,78,0,98,8
Idaho,2013,24,4,2,0,3,1,8,4,6,3,7,4,1,0,20,2,2,26,3,2,1,7,0,0,0,0,0,0,3,3,15,0,26,2
Illinois,2013,1465,28,313,6,482,23,549,31,316,19,273,15,159,5,431,6,893,60,371,23,0,0,31,6,0,0,53,47,362,70,1273,28,1779,17
Indiana,2013,407,15,92,3,165,15,148,18,79,10,72,8,35,2,180,4,246,51,52,18,1,8,8,8,0,0,11,18,129,25,332,1,499,9
Iowa,2013,90,7,35,3,19,4,29,7,27,7,29,7,22,3,78,3,26,35,9,8,0,0,8,16,0,0,4,17,39,7,77,0,126,5
Kansas,2013,129,11,24,2,33,7,37,10,42,12,24,6,17,2,60,3,49,36,31,14,0,0,1,2,1,59,10,25,26,9,109,0,153,7
Kentucky,2013,307,17,67,4,71,10,119,21,84,15,59,10,41,3,217,7,120,42,20,19,0,0,4,9,1,56,12,31,71,28,260,1,374,10
Louisiana,2013,931,50,304,15,323,41,352,53,261,46,191,31,108,9,282,12,879,74,54,32,1,4,6,9,0,0,13,35,364,103,730,1,1235,32
Maine,2013,26,5,6,1,3,2,6,4,12,7,8,4,3,1,20,2,10,82,2,15,0,0,0,0,0,0,0,0,4,6,21,1,32,3
Maryland,2013,1088,46,440,17,292,31,432,53,316,41,280,32,207,13,209,8,1153,80,85,21,1,9,17,6,0,0,62,77,635,96,762,6,1528,31
Massachusetts,2013,587,21,194,7,110,10,223,24,147,17,208,21,93,5,287,7,221,60,242,45,0,0,20,6,0,0,12,17,215,96,443,4,781,14
Michigan,2013,657,16,136,3,235,14,228,19,129,11,130,9,70,3,217,3,507,45,39,12,0,0,10,5,0,0,20,16,167,54,547,5,793,10
Minnesota,2013,239,11,76,3,54,6,99,13,51,8,73,9,39,3,148,4,120,54,30,16,6,14,2,1,0,0,8,13,90,11,202,0,315,7
Mississippi,2013,383,32,119,9,168,32,133,34,91,25,59,15,50,6,79,5,384,44,12,19,0,0,1,4,0,0,25,140,161,19,316,3,502,20
Missouri,2013,404,17,79,3,141,14,137,17,93,13,73,9,39,2,196,5,254,45,19,11,0,0,8,9,0,0,5,7,94,33,341,0,483,10
Montana,2013,20,5,3,1,4,3,7,6,5,5,4,3,2,1,14,2,1,25,1,4,2,5,1,16,0,0,4,27,2,1,19,0,23,3
Nebraska,2013,66,9,18,2,20,6,21,8,24,11,17,7,3,1,42,3,25,38,14,11,0,0,1,3,0,0,1,7,26,3,51,0,84,6
Nevada,2013,399,34,58,5,104,24,164,41,82,22,74,20,34,5,175,14,103,55,143,25,1,5,16,8,1,8,18,32,69,24,329,1,457,20
New Hampshire,2013,28,5,6,1,5,2,10,7,4,3,10,5,4,1,26,3,2,16,3,10,0,0,1,4,0,0,2,17,-2,-2,-2,-2,34,3
New Jersey,2013,1098,30,377,10,231,17,392,34,319,27,314,23,218,9,319,7,646,68,435,33,0,0,15,2,0,0,59,74,426,230,790,2,1475,20
New Mexico,2013,129,15,19,2,33,10,47,17,32,13,22,8,13,2,35,5,5,16,82,11,22,15,1,4,0,0,2,10,20,11,102,0,147,9
New York,2013,2813,35,745,9,725,23,1119,40,703,28,608,22,402,8,683,7,1341,56,1197,42,2,4,84,6,1,15,249,121,904,292,2264,4,3558,21
North Carolina,2013,1082,27,280,7,335,21,350,27,287,22,250,18,141,5,324,6,870,50,119,20,9,10,13,7,1,21,25,25,383,81,859,2,1362,17
North Dakota,2013,16,5,4,1,3,2,9,9,4,5,0,0,3,2,9,2,7,74,2,14,1,4,0,0,0,0,0,0,5,0,13,0,20,3
Ohio,2013,888,19,186,4,306,16,298,21,202,14,169,10,98,3,438,6,519,46,63,23,1,5,4,2,1,36,48,38,213,65,767,3,1074,11
Oklahoma,2013,297,19,50,3,81,13,103,20,69,15,66,13,27,3,167,8,103,45,23,9,31,13,7,12,1,29,15,11,59,31,236,0,347,11
Oregon,2013,200,12,30,2,29,5,63,12,63,12,59,12,16,1,157,6,17,30,48,14,1,3,6,5,1,9,1,1,31,18,159,0,230,7
Pennsylvania,2013,1111,21,298,5,308,15,380,24,262,17,290,16,169,4,392,5,762,69,182,30,5,34,27,8,1,37,41,36,537,107,739,2,1409,13
Rhode Island,2013,67,16,21,4,16,9,27,20,17,13,14,9,14,5,49,7,12,26,24,22,1,29,0,0,0,0,2,16,22,8,54,0,88,10
South Carolina,2013,573,30,175,9,194,25,202,33,147,25,124,19,81,6,172,7,517,48,42,23,1,7,1,2,0,0,16,38,236,42,452,1,748,19
South Dakota,2013,23,7,12,3,3,2,8,7,10,11,9,9,3,1,12,2,5,44,3,15,12,23,2,25,0,0,0,0,17,6,9,0,34,5
Tennessee,2013,650,25,161,6,210,20,252,30,139,17,134,15,75,4,256,6,477,54,42,19,0,0,7,8,0,0,28,48,213,20,563,1,811,15
Texas,2013,3700,35,846,8,1074,23,1521,40,908,25,691,20,352,6,979,10,1693,68,1659,22,1,1,80,9,1,6,134,61,1036,235,3129,5,4547,21
Utah,2013,94,8,16,1,21,4,45,10,21,6,16,5,7,1,70,4,10,46,21,8,0,0,4,8,0,0,4,13,14,7,72,0,110,5
Vermont,2013,13,5,1,0,1,1,6,9,3,4,3,3,1,1,9,2,3,57,1,12,0,0,0,0,0,0,1,15,0,3,12,0,15,3
Virginia,2013,822,24,200,6,264,20,291,25,189,17,171,14,107,5,281,6,605,47,94,17,0,0,18,4,0,0,25,21,283,32,683,1,1022,15
Washington,2013,397,14,72,2,77,7,141,14,132,15,86,9,32,2,251,6,89,43,80,14,4,6,24,5,7,21,12,7,74,29,325,0,468,8
West Virginia,2013,63,8,15,2,10,4,25,12,13,6,19,7,10,2,49,3,17,31,6,32,0,0,0,0,0,0,6,38,16,15,46,0,78,5
Wisconsin,2013,216,9,39,2,56,6,78,11,45,6,44,5,32,2,100,3,102,37,40,16,2,6,6,6,0,0,4,9,43,16,190,1,255,5
Wyoming,2013,13,6,2,1,4,4,4,5,4,6,2,3,1,1,12,3,1,13,2,5,0,0,0,0,0,0,0,0,4,0,11,0,16,3
Puerto Rico,2013,546,38,170,11,113,18,178,39,144,31,170,36,111,11,0,-9,0,-9,716,-9,0,-9,0,-9,0,-9,0,-9,267,123,307,1,716,24
Alabama,2014,567,29,132,6,217,27,235,38,117,19,79,12,52,4,154,6,503,48,19,13,0,0,1,2,0,0,21,49,168,28,489,1,699,17
Alaska,2014,34,11,7,3,8,6,18,15,5,6,6,7,3,2,18,5,7,34,3,9,12,15,0,0,0,0,1,4,15,0,25,0,41,7
Arizona,2014,677,25,120,4,178,16,262,29,179,21,115,14,64,3,300,9,140,63,280,18,56,26,17,10,1,10,4,5,126,70,560,2,798,14
Arkansas,2014,290,24,50,4,112,23,88,23,57,16,59,15,24,3,129,7,168,46,26,18,0,0,0,0,0,0,18,55,51,23,254,0,340,14
California,2014,4906,31,627,4,1045,16,1884,33,1214,24,929,18,460,5,1651,13,925,49,2449,21,13,10,388,8,7,6,99,14,719,279,4329,4,5533,17
Colorado,2014,349,16,52,2,66,8,143,18,101,14,69,10,22,2,195,6,72,41,118,14,1,4,8,6,0,0,6,9,52,22,301,1,401,9
Connecticut,2014,225,15,79,5,57,10,83,19,53,12,71,13,41,4,81,4,145,49,70,17,2,35,6,5,0,0,1,3,102,36,160,1,305,10
Delaware,2014,86,23,46,11,22,15,35,28,33,30,28,22,14,5,40,8,79,48,9,14,0,0,0,0,0,0,6,46,69,8,54,0,132,17
Washington DC,2014,305,114,76,25,65,61,112,75,89,96,63,82,51,36,62,29,268,102,35,64,1,95,4,15,1,403,10,97,97,25,248,0,381,67
Florida,2014,4207,51,1125,13,945,32,1564,62,1034,43,1105,40,684,11,1488,15,2251,90,1477,38,11,24,44,10,5,50,56,28,1692,251,3271,15,5332,31
Georgia,2014,1815,45,432,10,553,32,744,54,430,31,313,22,207,9,303,7,1737,69,144,22,3,13,15,5,2,30,43,42,589,120,1500,3,2247,27
Hawaii,2014,100,17,11,2,14,6,39,19,28,16,15,9,14,3,38,13,10,40,7,7,0,0,22,5,16,15,16,8,16,8,78,0,110,9
Idaho,2014,27,4,0,0,2,1,7,3,8,4,6,3,4,1,24,2,1,12,2,2,0,0,0,0,0,0,0,0,2,0,22,0,27,2
Illinois,2014,1454,28,274,5,461,22,575,32,329,20,233,13,130,4,449,7,853,57,355,22,2,14,31,6,0,0,39,33,317,70,1281,21,1728,16
Indiana,2014,400,15,90,3,135,12,161,19,86,11,67,8,40,2,203,5,204,42,56,18,0,0,11,10,0,0,17,26,133,16,323,0,490,9
Iowa,2014,85,7,19,1,18,4,29,8,18,5,21,5,17,2,72,3,13,16,11,9,0,0,1,2,0,0,8,29,24,7,71,0,104,4
Kansas,2014,108,9,30,3,33,7,46,12,24,7,24,7,11,1,65,3,29,21,27,12,4,22,3,5,0,0,10,23,30,10,93,0,138,6
Kentucky,2014,305,17,60,3,71,10,112,20,91,16,66,11,25,2,208,7,108,38,35,33,0,0,6,13,0,0,7,16,69,18,266,0,365,10
Louisiana,2014,1044,56,364,18,359,46,457,68,279,49,200,33,113,9,307,13,986,83,86,50,4,17,14,20,0,0,12,31,424,105,837,4,1408,37
Maine,2014,42,8,18,3,9,5,7,5,13,8,19,10,12,3,35,3,21,160,4,28,0,0,0,0,0,0,0,0,20,7,31,1,60,5
Maryland,2014,996,42,392,15,267,28,447,54,288,38,238,27,148,9,178,7,1065,73,102,24,0,0,10,3,0,0,33,40,530,80,758,3,1388,28
Massachusetts,2014,549,20,187,6,110,10,217,23,161,19,159,16,89,5,238,5,244,65,213,38,0,0,35,10,1,56,4,5,201,84,427,3,735,13
Michigan,2014,683,17,154,4,247,15,268,22,131,11,122,9,69,2,245,4,509,45,49,14,3,7,16,7,1,49,14,11,174,35,609,3,837,10
Minnesota,2014,243,11,75,3,59,7,104,14,84,13,43,6,28,2,144,4,119,52,34,17,5,12,11,6,0,0,4,7,83,13,205,2,318,7
Mississippi,2014,402,34,117,9,164,32,171,44,75,20,64,16,45,6,84,6,403,45,16,25,0,0,1,4,0,0,15,79,139,15,358,1,519,21
Missouri,2014,420,17,79,3,146,15,163,20,93,13,64,8,34,2,204,5,257,45,24,14,1,5,6,7,1,20,7,10,94,21,364,0,500,10
Montana,2014,13,3,3,1,2,1,8,6,4,4,2,2,0,0,13,2,0,0,1,4,1,2,0,0,1,173,0,0,4,1,9,0,16,2
Nebraska,2014,84,11,9,1,16,5,32,13,25,11,17,7,3,1,51,4,29,42,10,7,1,9,1,3,0,0,2,12,19,3,66,0,93,6
Nevada,2014,406,34,57,5,107,24,163,40,86,23,77,20,29,4,168,13,108,56,147,25,3,15,21,11,2,15,13,22,65,23,342,2,463,20
New Hampshire,2014,34,6,7,1,8,4,12,8,5,3,10,5,5,1,26,2,6,47,7,21,0,0,1,4,0,0,1,8,-2,-2,-2,-2,41,4
New Jersey,2014,1148,32,388,10,253,18,453,40,338,29,288,22,203,8,283,6,696,72,499,37,1,11,15,2,2,93,40,48,421,239,854,2,1536,20
New Mexico,2014,126,15,16,2,26,7,53,19,27,11,23,9,12,2,32,4,8,26,72,9,28,19,0,0,0,0,1,5,25,14,98,0,141,8
New York,2014,3001,37,817,9,728,23,1202,42,808,32,650,23,428,8,821,9,1541,64,1172,40,3,7,120,9,1,15,159,75,976,308,2453,5,3817,23
North Carolina,2014,1113,28,302,7,400,24,414,32,253,19,218,16,131,5,315,6,904,52,134,21,13,14,17,8,1,21,32,30,382,80,908,0,1416,17
North Dakota,2014,20,6,4,1,7,5,4,4,5,6,6,7,1,1,11,2,11,92,0,0,1,4,2,27,0,0,0,0,5,1,17,0,24,4
Ohio,2014,863,18,142,3,286,15,323,22,192,14,133,8,72,2,379,5,517,45,73,25,1,6,6,3,1,35,27,21,176,46,755,3,1005,10
