State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
New Mexico,2013,129,19,33,47,32,22,13,35,5,82,1,22,0,2,20,102,11,0,147
New York,2013,2813,745,725,1119,703,608,402,683,1341,1197,84,2,1,249,904,2264,292,4,3558
North Carolina,2013,1082,280,335,350,287,250,141,324,870,119,13,9,1,25,383,859,81,2,1362
North Dakota,2013,16,4,3,9,4,0,3,9,7,2,0,1,0,0,5,13,0,0,20
Ohio,2013,888,186,306,298,202,169,98,438,519,63,4,1,1,48,213,767,65,3,1074
Oklahoma,2013,297,50,81,103,69,66,27,167,103,23,7,31,1,15,59,236,31,0,347
Oregon,2013,200,30,29,63,63,59,16,157,17,48,6,1,1,1,31,159,18,0,230
Pennsylvania,2013,1111,298,308,380,262,290,169,392,762,182,27,5,1,41,537,739,107,2,1409
Rhode Island,2013,67,21,16,27,17,14,14,49,12,24,0,1,0,2,22,54,8,0,88
South Carolina,2013,573,175,194,202,147,124,81,172,517,42,1,1,0,16,236,452,42,1,748
South Dakota,2013,23,12,3,8,10,9,3,12,5,3,2,12,0,0,17,9,6,0,34
Tennessee,2013,650,161,210,252,139,134,75,256,477,42,7,0,0,28,213,563,20,1,811
Texas,2013,3700,846,1074,1521,908,691,352,979,1693,1659,80,1,1,134,1036,3129,235,5,4547
Utah,2013,94,16,21,45,21,16,7,70,10,21,4,0,0,4,14,72,7,0,110
Vermont,2013,13,1,1,6,3,3,1,9,3,1,0,0,0,1,0,12,3,0,15
Virginia,2013,822,200,264,291,189,171,107,281,605,94,18,0,0,25,283,683,32,1,1022
Washington,2013,397,72,77,141,132,86,32,251,89,80,24,4,7,12,74,325,29,0,468
West Virginia,2013,63,15,10,25,13,19,10,49,17,6,0,0,0,6,16,46,15,0,78
Wisconsin,2013,216,39,56,78,45,44,32,100,102,40,6,2,0,4,43,190,16,1,255
Wyoming,2013,13,2,4,4,4,2,1,12,1,2,0,0,0,0,4,11,0,0,16
Puerto Rico,2013,546,170,113,178,144,170,111,0,0,716,0,0,0,0,267,307,123,1,716
Alabama,2014,567,132,217,235,117,79,52,154,503,19,1,0,0,21,168,489,28,1,699
Alaska,2014,34,7,8,18,5,6,3,18,7,3,0,12,0,1,15,25,0,0,41
Arizona,2014,677,120,178,262,179,115,64,300,140,280,17,56,1,4,126,560,70,2,798
Arkansas,2014,290,50,112,88,57,59,24,129,168,26,0,0,0,18,51,254,23,0,340
California,2014,4906,627,1045,1884,1214,929,460,1651,925,2449,388,13,7,99,719,4329,279,4,5533
Colorado,2014,349,52,66,143,101,69,22,195,72,118,8,1,0,6,52,301,22,1,401
Connecticut,2014,225,79,57,83,53,71,41,81,145,70,6,2,0,1,102,160,36,1,305
Delaware,2014,86,46,22,35,33,28,14,40,79,9,0,0,0,6,69,54,8,0,132
Washington DC,2014,305,76,65,112,89,63,51,62,268,35,4,1,1,10,97,248,25,0,381
Florida,2014,4207,1125,945,1564,1034,1105,684,1488,2251,1477,44,11,5,56,1692,3271,251,15,5332
Georgia,2014,1815,432,553,744,430,313,207,303,1737,144,15,3,2,43,589,1500,120,3,2247
Hawaii,2014,100,11,14,39,28,15,14,38,10,7,22,0,16,16,16,78,8,0,110
Idaho,2014,27,0,2,7,8,6,4,24,1,2,0,0,0,0,2,22,0,0,27
Illinois,2014,1454,274,461,575,329,233,130,449,853,355,31,2,0,39,317,1281,70,21,1728
Indiana,2014,400,90,135,161,86,67,40,203,204,56,11,0,0,17,133,323,16,0,490
Iowa,2014,85,19,18,29,18,21,17,72,13,11,1,0,0,8,24,71,7,0,104
Kansas,2014,108,30,33,46,24,24,11,65,29,27,3,4,0,10,30,93,10,0,138
Kentucky,2014,305,60,71,112,91,66,25,208,108,35,6,0,0,7,69,266,18,0,365
Louisiana,2014,1044,364,359,457,279,200,113,307,986,86,14,4,0,12,424,837,105,4,1408
Maine,2014,42,18,9,7,13,19,12,35,21,4,0,0,0,0,20,31,7,1,60
Maryland,2014,996,392,267,447,288,238,148,178,1065,102,10,0,0,33,530,758,80,3,1388
Massachusetts,2014,549,187,110,217,161,159,89,238,244,213,35,0,1,4,201,427,84,3,735
Michigan,2014,683,154,247,268,131,122,69,245,509,49,16,3,1,14,174,609,35,3,837
Minnesota,2014,243,75,59,104,84,43,28,144,119,34,11,5,0,4,83,205,13,2,318
Mississippi,2014,402,117,164,171,75,64,45,84,403,16,1,0,0,15,139,358,15,1,519
Missouri,2014,420,79,146,163,93,64,34,204,257,24,6,1,1,7,94,364,21,0,500
Montana,2014,13,3,2,8,4,2,0,13,0,1,0,1,1,0,4,9,1,0,16
Nebraska,2014,84,9,16,32,25,17,3,51,29,10,1,1,0,2,19,66,3,0,93
Nevada,2014,406,57,107,163,86,77,29,168,108,147,21,3,2,13,65,342,23,2,463
New Hampshire,2014,34,7,8,12,5,10,5,26,6,7,1,0,0,1,-2,-2,-2,-2,41
New Jersey,2014,1148,388,253,453,338,288,203,283,696,499,15,1,2,40,421,854,239,2,1536
New Mexico,2014,126,16,26,53,27,23,12,32,8,72,0,28,0,1,25,98,14,0,141
New York,2014,3001,817,728,1202,808,650,428,821,1541,1172,120,3,1,159,976,2453,308,5,3817
North Carolina,2014,1113,302,400,414,253,218,131,315,904,134,17,13,1,32,382,908,80,0,1416
North Dakota,2014,20,4,7,4,5,6,1,11,11,0,2,1,0,0,5,17,1,0,24
Ohio,2014,863,142,286,323,192,133,72,379,517,73,6,1,1,27,176,755,46,3,1005
Oklahoma,2014,277,57,73,115,64,56,25,167,85,32,4,23,1,22,56,221,22,1,334
Oregon,2014,222,22,32,80,59,47,26,162,15,48,7,1,3,8,27,162,18,0,244
Pennsylvania,2014,1039,283,285,367,268,252,151,383,690,197,25,4,0,23,471,728,94,2,1322
Rhode Island,2014,80,21,15,26,25,21,14,40,24,28,3,0,0,5,33,61,5,0,101
South Carolina,2014,685,156,247,234,128,145,87,191,598,31,0,2,1,17,220,568,40,1,841
South Dakota,2014,17,12,3,7,11,5,2,12,12,1,0,4,0,0,17,6,2,0,28
Tennessee,2014,642,166,227,242,156,118,65,264,471,52,3,1,1,16,218,541,33,0,808
Texas,2014,3925,892,1224,1589,984,690,329,1016,1797,1796,86,3,1,117,1033,3386,255,6,4817
Utah,2014,102,18,22,49,31,9,10,69,12,32,8,0,0,0,20,77,5,0,120
Vermont,2014,15,4,7,3,2,4,2,14,4,0,0,0,0,1,3,10,3,0,19
Virginia,2014,781,203,247,308,187,155,86,283,571,89,18,1,0,20,265,658,35,5,983
Washington,2014,377,78,67,144,112,93,39,233,95,64,39,6,5,13,84,311,28,2,455
West Virginia,2014,79,17,24,23,23,17,10,73,17,3,1,0,0,2,20,62,11,0,96
Wisconsin,2014,195,35,65,66,40,42,17,71,103,41,5,3,0,6,40,176,11,0,230
Wyoming,2014,10,2,0,5,3,3,0,5,4,2,0,0,0,0,3,7,1,0,12
Puerto Rico,2014,547,138,140,157,174,123,92,2,1,682,0,0,0,0,241,343,94,1,686
Alabama,2015,371,110,150,143,76,64,48,99,343,18,3,1,0,17,148,299,20,1,481
Alaska,2015,19,5,4,6,4,5,5,8,4,2,1,9,0,0,9,14,0,0,24
Arizona,2015,618,99,151,240,147,117,62,251,130,256,16,51,5,8,120,485,62,0,717
Arkansas,2015,205,53,72,78,35,48,25,97,135,18,2,0,2,4,54,182,16,1,258
California,2015,4215,505,960,1630,978,771,381,1354,888,2070,299,15,14,80,563,3738,234,2,4720
Colorado,2015,319,54,83,126,84,61,19,185,60,114,3,3,0,8,51,264,14,0,373
Connecticut,2015,207,64,53,78,53,47,40,84,99,79,5,2,0,2,87,154,20,0,271
Delaware,2015,87,22,17,36,20,20,16,37,58,12,0,0,0,2,40,60,4,0,109
Washington DC,2015,291,92,74,144,76,50,39,43,278,52,4,0,1,5,116,239,22,1,383
Florida,2015,3823,1026,929,1442,988,899,591,1193,2056,1490,55,5,10,40,1542,3000,209,4,4849
Georgia,2015,1943,438,594,838,424,331,194,370,1784,162,20,2,1,42,595,1650,96,4,2381
Hawaii,2015,108,7,14,49,18,25,9,41,11,10,20,1,14,18,17,85,11,0,115
Idaho,2015,33,5,8,14,4,8,4,19,8,8,3,0,0,0,10,24,2,0,38
Illinois,2015,1235,237,418,504,256,186,108,339,746,304,38,4,1,40,276,1073,54,19,1472
Indiana,2015,484,148,119,239,136,101,37,356,206,51,7,1,0,11,119,310,181,0,632
Iowa,2015,100,26,33,28,26,23,16,74,24,17,6,0,0,5,28,81,12,0,126
Kansas,2015,124,23,35,45,31,20,16,57,44,34,5,1,0,6,29,103,5,0,147
Kentucky,2015,278,58,82,115,66,51,22,181,128,13,5,0,0,9,67,238,18,1,336
Louisiana,2015,854,275,286,375,211,151,106,235,814,63,3,9,1,4,333,670,88,4,1129
Maine,2015,36,9,10,10,8,9,8,26,14,5,0,0,0,0,9,29,6,1,45
Maryland,2015,979,368,255,433,264,252,143,174,1022,99,18,3,0,31,497,748,76,4,1347
Massachusetts,2015,437,163,79,184,132,125,80,218,183,166,23,3,0,7,175,327,76,5,600
Michigan,2015,595,130,215,222,119,117,52,213,445,43,13,0,0,11,138,526,42,3,725
Minnesota,2015,221,66,65,87,63,41,31,121,125,24,12,0,0,5,74,179,12,1,287
Mississippi,2015,399,110,182,144,75,57,51,76,406,15,3,3,0,6,134,343,20,1,509
Missouri,2015,389,76,134,148,83,61,39,198,220,22,9,0,1,15,97,330,25,0,465
Montana,2015,17,2,6,5,4,1,3,15,1,3,0,0,0,0,4,10,1,0,19
Nebraska,2015,69,12,25,21,17,16,2,47,17,11,0,5,0,1,16,60,2,0,81
Nevada,2015,424,61,84,167,114,90,30,167,122,148,31,3,6,8,70,360,27,0,485
New Hampshire,2015,20,2,6,6,4,3,3,17,3,1,0,0,0,1,-2,-2,-2,-2,22
New Jersey,2015,906,284,204,374,234,219,159,207,535,400,26,0,0,22,371,665,127,6,1190
New Mexico,2015,125,10,28,51,29,19,8,37,5,77,0,16,0,0,11,95,13,0,135
New York,2015,2487,636,576,1045,599,540,363,597,1255,1012,90,1,3,165,779,2033,247,6,3123
North Carolina,2015,1076,259,349,411,228,205,142,304,852,122,12,14,1,30,332,901,55,2,1335
North Dakota,2015,14,8,5,6,8,2,1,7,11,2,1,0,0,1,9,9,3,0,22
Ohio,2015,744,183,256,294,158,145,74,365,474,48,10,2,1,27,194,656,58,2,927
Oklahoma,2015,275,44,68,122,62,45,22,150,76,42,9,23,1,18,52,215,17,0,319
Oregon,2015,187,24,27,70,46,45,23,147,19,33,6,3,2,1,23,146,20,1,211
Pennsylvania,2015,909,261,265,347,221,211,126,347,627,157,21,2,1,15,394,665,82,1,1170
Rhode Island,2015,48,16,8,17,14,18,7,24,16,21,1,0,0,2,21,37,4,0,64
South Carolina,2015,554,140,181,214,118,103,78,156,477,48,2,1,1,9,187,458,41,2,694
South Dakota,2015,17,6,5,6,5,4,3,11,6,3,0,3,0,0,9,11,1,0,23
Tennessee,2015,571,141,184,246,123,111,48,237,419,42,8,2,1,3,186,463,42,0,712
Texas,2015,3643,833,1089,1552,868,640,327,938,1653,1701,83,5,5,91,954,3142,234,5,4476
Utah,2015,105,11,15,45,33,17,6,68,8,31,7,2,0,0,15,83,4,0,116
Vermont,2015,6,5,0,5,3,3,0,8,0,2,1,0,0,0,4,5,3,0,11
Virginia,2015,774,182,252,320,182,116,86,223,590,105,25,1,2,10,260,646,32,1,956
Washington,2015,379,66,71,164,98,74,38,219,90,82,34,6,5,9,61,320,38,1,445
West Virginia,2015,59,15,18,19,23,7,7,56,12,2,1,1,0,2,16,49,5,0,74
Wisconsin,2015,199,30,58,78,41,36,16,85,93,35,7,4,0,5,36,179,7,0,229
Wyoming,2015,13,2,5,4,3,2,1,10,2,3,0,0,0,0,4,5,3,1,15
Puerto Rico,2015,417,92,72,134,115,113,75,1,1,507,0,0,0,0,172,259,67,0,509
